rname,0,1,2,3,4,5,6,7,8,9,10
F19-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0270490728072305,0.027896172712328207,0.010927194470732583
Ne20-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005420788272657059,0.006775005887664664
Ne20-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008801372900079983,0.025566913209850592
Ne20-105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002073494018583687,0.0020613004558968618,0.0004991623347583801
Ne21-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.85608437813235e-07,1.0843507889064853e-05
Ne21-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.742422075290496e-06,3.4990518229052305e-06
Ne21-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4752388519786766e-07,1.6970625116313336e-05
Ne22-156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5084721993738245e-05
Ne22-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.014060672812649e-07,6.711894157039522e-05
Ne22-157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.331947550409069e-20,5.3230209630141144e-05
Na23-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02869249510413771,0.04844072973866842,0.012251177537494091
Na23-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005248500381325377,0.009632155193567318
Na23-177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.884025810783708e-05
Na23-185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4129138326806387e-05
Mg24-155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.923034262887784e-05,0.0003321403810497693
Mg24-158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7764438603804513e-06,0.0011221575087991692
Mg24-159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.352036180331276e-08,0.0019871552605321297
Mg24-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012748915828250497,0.0371107119862561
Mg25-181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.056529104128412e-06
Mg25-189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.243649728034657e-08,2.2565330188330397e-05
Mg26-102,0.003508599152898216,0.0008952088289394587,0.00033300868892353745,0.00016583009529241605,6.152746622193325e-05,1.911532481058246e-05,3.0045133549399263e-05,1.5424813884718203e-05,2.922943830053804e-05,1.7939232604580642e-05,4.716018730600053e-06
Al27-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.638256907389528e-09,0.000299779757152732
Al27-102,0.19312136253409065,0.04931103900762506,0.01833900691618707,0.009130052862946877,0.003363924009097887,0.0009884761708164424,0.0005243729030440233,0.00025879903282232866,0.00036080674587704624,0.0001286986566486468,3.99862661503401e-05
Al27-103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023702257001749806,0.040350307514315904,0.00935871276259652,0.002665864856779246
Si28-103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05194213567263596,0.11672917146081395,0.017326068502300014,0.005115650787956885
Si28-111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001642720498928785,0.005192155187756049,0.0013513276981633796
Si28-113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3389555507852738e-14,5.815047037753261e-06
Si29-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014430876869203169,0.005076910385612383,0.0027378776025556942
Si29-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.903997950017761e-05,0.00020333850545933003
Si29-104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032630419000498334,0.0007233299713256619,0.00034919748304644565
Si29-106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5308094367812094e-07,1.859573872740694e-05,1.1241140049507649e-05
Si29-115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7269039523988086e-05,5.059136371321811e-05
Si30-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027696850231558983,0.00039476875707457874
Si30-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.788153708566185e-06,3.9233152901894015e-05
Si30-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008704161618312529,0.0017827253947682513
Si30-183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3843975062235613e-07,4.048601491524055e-05
Si30-190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.60030198607774e-08,6.432639412916689e-05
Si30-105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.149371616606633e-06,5.805973337693626e-05,2.414514612788477e-05
Si30-107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.753335761523665e-05,0.0010456776290132968,0.0001698991489906352,1.4655939290053519e-05
Si30-116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.337416706334989e-06,7.660712997777492e-06
P31-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005906399976463527,0.002198350265984934
P31-183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018794032884606533,0.005353064119791279
P31-186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2740591386575487e-08,0.00021879003305735778
