rname,N_infty per mole parent,uncertainty,min_N_infty
F19-16,97967491.53200723,264039.7794125194,556449.1273765435
Ne20-32,21313343.233452383,58313.36982341123,114688.88880566077
Ne20-41,60458190.166419886,163373.99612987382,402511.6395646775
Ne20-105,4654038.452508117,13568.806289385546,27899.9325314569
Ne21-11,20591.27642054906,356.9609350457356,4.642468386844819
Ne21-33,10909.53164351,258.35762325130344,0.7851227421698397
Ne21-42,30372.262386107977,435.98915077176565,11.185312282975971
Ne22-156,44520.36459448664,532.1370501290294,24.044964471909733
Ne22-154,120667.34693603058,913.0595223991837,158.509006974553
Ne22-157,94472.97605157457,796.7937537712195,102.47689223455272
Na23-16,137392006.80419382,1569524.8204231507,45002.64451996016
Na23-24,26088979.290982444,71131.7759823311,150792.62660360607
Na23-177,68933.69008978922,671.2455142552786,56.095340375209105
Na23-185,78320.39470241596,719.1798785018725,71.6711783510477
Mg24-155,725251.8634159755,2858.100141088123,2515.9762873332775
Mg24-158,1996362.8608159132,6384.534353335202,14989.431524521247
Mg24-159,3526860.5968844094,10530.40898142561,30524.970775437516
Mg24-41,87710633.79649736,1248079.6221582429,21072.149486941093
Mg25-181,14298.727854007102,296.3681591260121,2.5681720457902943
Mg25-189,40070.25919998839,503.5681100456618,19.55613691077518
Mg26-102,2734971.72165622,7890.25645000253,141545.15206208115
Al27-30,532057.0611117051,2291.809589516612,2212.5831068234393
Al27-102,144713962.49493176,213302.85649199097,31045849.638590407
Al27-103,99778289.54612713,114748.27853419469,4207795.973080198
Si28-103,244113088.5653671,349566.66296458425,8084261.675007402
Si28-111,11482489.412397277,19625.02875349603,208773.7402458687
Si28-113,10320.545522684826,251.19960194214104,1.3442036265851298
Si29-28,15200635.358441778,33041.46491420936,119638.05524756525
Si29-44,479192.0883607232,3069.086731993167,570.1762961218848
Si29-104,2230457.5783241554,10296.158488938108,3843.575693290442
Si29-106,51990.57812467894,992.9542617205822,6.0516679707238525
Si29-115,136517.77844652545,1615.1455876656,42.01260977988305
Si30-32,1175248.8156239572,7316.785439139325,1240.8140173882418
Si30-34,81263.17996528055,1243.0630836306589,20.26366817662542
Si30-41,4655526.16554873,15569.761901105785,18370.645671399823
Si30-183,72605.8896282354,1174.5236365162013,20.970228292858188
